Metis timed out on Problems/HL406417+1.p
Metis timed out on Problems/HL406430+1.p
% SZS status Theorem for Problems/HL406442+1.p
% SZS status Theorem for Problems/HL406450+1.p
Metis timed out on Problems/HL406461+1.p
% SZS status Theorem for Problems/HL406467+1.p
Metis timed out on Problems/HL406472+1.p
Metis timed out on Problems/HL406483+1.p
Metis timed out on Problems/HL406501+1.p
Metis timed out on Problems/HL406512+1.p
% SZS status Unknown for Problems/HL406522+1.p Metis timed out on Problems/HL406522+1.p
% SZS status Unknown for Problems/HL406534+1.p Metis timed out on Problems/HL406534+1.p
Metis timed out on Problems/HL406550+1.p
Metis timed out on Problems/HL406567+1.p
% SZS status Theorem for Problems/HL406573+1.p
Metis timed out on Problems/HL406579+1.p
Metis timed out on Problems/HL406588+1.p
% SZS status Unknown for Problems/HL406590+1.p Metis timed out on Problems/HL406590+1.p
Metis timed out on Problems/HL406594+1.p
Metis timed out on Problems/HL406596+1.p
Metis timed out on Problems/HL406597+1.p
% SZS status Unknown for Problems/HL406620+1.p Metis timed out on Problems/HL406620+1.p
% SZS status Unknown for Problems/HL406634+1.p Metis timed out on Problems/HL406634+1.p
Metis timed out on Problems/HL406637+1.p
Metis timed out on Problems/HL406659+1.p
Metis timed out on Problems/HL406670+1.p
% SZS status Theorem for Problems/HL406686+1.p
Metis timed out on Problems/HL406696+1.p
% SZS status Theorem for Problems/HL406710+1.p
Metis timed out on Problems/HL406718+1.p
Metis timed out on Problems/HL406741+1.p
Metis timed out on Problems/HL406778+1.p
Metis timed out on Problems/HL406780+1.p
Metis timed out on Problems/HL406789+1.p
Metis timed out on Problems/HL406819+1.p
Metis timed out on Problems/HL406833+1.p
% SZS status Theorem for Problems/HL406853+1.p
Metis timed out on Problems/HL406855+1.p
Metis timed out on Problems/HL406857+1.p
Metis timed out on Problems/HL406872+1.p
% SZS status Unknown for Problems/HL406873+1.p Metis timed out on Problems/HL406873+1.p
% SZS status Theorem for Problems/HL406882+1.p
Metis timed out on Problems/HL406905+1.p
% SZS status Unknown for Problems/HL406909+1.p Metis timed out on Problems/HL406909+1.p
Metis timed out on Problems/HL406928+1.p
Metis timed out on Problems/HL406940+1.p
Metis timed out on Problems/HL406943+1.p
% SZS status Theorem for Problems/HL406945+1.p
% SZS status Theorem for Problems/HL406959+1.p
Metis timed out on Problems/HL406967+1.p
Metis timed out on Problems/HL406982+1.p
Metis timed out on Problems/HL407004+1.p
Metis timed out on Problems/HL407006+1.p
Metis timed out on Problems/HL407020+1.p
Metis timed out on Problems/HL407022+1.p
Metis timed out on Problems/HL407041+1.p
Metis timed out on Problems/HL407089+1.p
Metis timed out on Problems/HL407104+1.p
Metis timed out on Problems/HL407127+1.p
Metis timed out on Problems/HL407132+1.p
% SZS status Theorem for Problems/HL407134+1.p
Metis timed out on Problems/HL407136+1.p
% SZS status Theorem for Problems/HL407143+1.p
% SZS status Theorem for Problems/HL407144+1.p
% SZS status Theorem for Problems/HL407162+1.p
% SZS status Theorem for Problems/HL407169+1.p
% SZS status Theorem for Problems/HL407182+1.p
% SZS status Theorem for Problems/HL407192+1.p
% SZS status Theorem for Problems/HL407193+1.p
% SZS status Theorem for Problems/HL407200+1.p
% SZS status Theorem for Problems/HL407233+1.p
% SZS status Theorem for Problems/HL407238+1.p
Metis timed out on Problems/HL407243+1.p
Metis timed out on Problems/HL407256+1.p
Metis timed out on Problems/HL407278+1.p
Metis timed out on Problems/HL407281+1.p
Metis timed out on Problems/HL407287+1.p
Metis timed out on Problems/HL407304+1.p
% SZS status Theorem for Problems/HL407336+1.p
Metis timed out on Problems/HL407352+1.p
% SZS status Theorem for Problems/HL407378+1.p
Metis timed out on Problems/HL407391+1.p
Metis timed out on Problems/HL407407+1.p
Metis timed out on Problems/HL407413+1.p
Metis timed out on Problems/HL407416+1.p
% SZS status Theorem for Problems/HL407427+1.p
Metis timed out on Problems/HL407434+1.p
% SZS status Theorem for Problems/HL407454+1.p
% SZS status Theorem for Problems/HL407459+1.p
% SZS status Theorem for Problems/HL407467+1.p
% SZS status Theorem for Problems/HL407477+1.p
% SZS status Theorem for Problems/HL407486+1.p
% SZS status Theorem for Problems/HL407506+1.p
Metis timed out on Problems/HL407509+1.p
Metis timed out on Problems/HL407511+1.p
% SZS status Theorem for Problems/HL407523+1.p
Metis timed out on Problems/HL407528+1.p
% SZS status Unknown for Problems/HL407531+1.p Metis timed out on Problems/HL407531+1.p
Metis timed out on Problems/HL407541+1.p
Metis timed out on Problems/HL407564+1.p
Metis timed out on Problems/HL407577+1.p
Metis timed out on Problems/HL407603+1.p
Metis timed out on Problems/HL407605+1.p
Metis timed out on Problems/HL407629+1.p
Metis timed out on Problems/HL407634+1.p
